[0518/153655.418:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0518/165458.388:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0519/195248.443:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195253.462:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195258.482:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195303.501:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195308.521:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195313.541:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195318.561:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195323.580:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195328.599:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195333.619:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195338.639:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195343.659:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195348.680:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195353.714:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195358.730:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195403.740:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195408.759:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195413.778:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195418.783:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195423.802:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195428.806:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195433.825:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195438.859:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195443.864:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195448.883:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195453.903:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195458.938:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195503.942:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195508.962:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195513.982:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195519.002:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0519/195524.009:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
